"release_year","PC","PlayStation4","Xbox360"
2010,71.1366459627329,47.6666666666667,70.8165137614679
2011,70.296875,52.2307692307692,71.5409090909091
2012,71.1442307692308,50.1111111111111,71.7929292929293
2013,70.3745454545455,73.5185185185185,71.4923076923077
2014,72.0449438202247,73.0152671755725,64.3389830508475
2015,72.0977198697068,72.7920353982301,47.75
2016,73.0470219435737,72.1625766871166,51.1666666666667
2017,73.6909722222222,72.6834319526627,49.75
2018,72.9700374531835,71.7759197324415,48.9333333333333
2019,74.1136363636364,72.7449392712551,50.375
2020,72.8701298701299,72.9484978540773,49.125
2021,74.2489451476793,73.1612903225806,51
